Frame,Saliency_xcoord,Saliency_ycoord
530,75,414
531,84,302
532,365,377
533,365,377
534,365,377
535,365,377
536,365,377
537,365,377
538,365,377
539,231,424
540,231,424
541,231,424
542,231,424
543,426,286
544,426,286
545,426,286
546,426,286
547,426,286
548,131,421
549,131,421
550,147,428
551,147,428
552,147,428
553,147,428
554,422,36
555,422,36
556,471,426
557,428,6
558,424,2
559,424,2
560,424,2
561,424,2
562,424,2
563,424,2
564,424,2
565,424,2
566,501,427
567,304,425
568,439,400
569,359,425
570,359,425
571,415,180
572,415,180
573,416,90
574,416,90
575,416,90
576,416,90
577,416,90
578,416,90
579,416,90
580,416,90
581,416,90
582,416,90
583,416,90
584,754,426
585,754,426
586,216,383
587,216,384
588,216,384
589,144,374
590,144,374
591,144,374
592,271,428
593,271,428
594,271,428
595,106,352
596,111,353
597,111,353
598,327,263
599,327,263
600,327,263
601,327,263
602,327,263
603,327,263
604,327,263
605,327,263
606,327,263
607,327,263
608,327,263
609,327,263
610,327,263
611,327,263
612,327,263
613,327,263
614,327,263
615,327,263
616,327,263
617,327,263
618,327,263
619,327,263
620,327,263
621,327,263
622,327,263
623,327,263
624,327,263
625,327,263
626,327,263
627,327,263
628,327,263
629,327,263
630,327,263
631,327,263
632,327,263
633,327,263
634,327,263
635,96,351
636,96,353
637,97,352
638,97,352
639,97,352
640,97,352
641,97,352
642,97,352
643,97,352
644,365,269
645,365,269
646,365,269
647,365,269
648,378,237
649,433,239
650,288,428
651,288,428
652,415,196
653,415,196
654,415,196
655,415,196
656,415,196
657,415,196
658,415,196
659,336,428
660,337,428
661,300,428
662,300,428
663,437,215
664,437,215
665,320,428
666,302,428
667,304,428
668,304,428
669,304,428
670,304,428
671,304,428
672,304,428
673,304,428
674,290,428
675,290,428
676,290,428
677,290,428
678,290,428
679,290,428
680,290,428
681,302,428
682,302,428
683,333,427
684,333,427
685,333,427
686,333,427
687,301,428
688,301,428
689,301,428
690,301,428
691,301,428
692,301,428
693,301,428
694,301,428
695,301,428
696,301,428
697,301,428
698,339,394
699,168,390
700,168,390
701,168,390
702,168,390
703,168,390
704,168,390
705,168,390
706,168,390
707,168,390
708,168,390
709,168,390
710,168,390
711,422,139
712,386,153
713,386,153
714,397,147
715,381,119
716,381,119
