Frame,Saliency_xcoord,Saliency_ycoord
2126,391,262
2127,381,256
2128,381,256
2129,381,256
2130,381,256
2131,381,256
2132,381,256
2133,405,392
2134,424,427
2135,424,427
2136,424,427
2137,472,424
2138,472,424
2139,472,424
2140,391,427
2141,391,427
2142,391,427
2143,391,427
2144,391,427
2145,391,427
2146,750,426
2147,750,426
2148,750,426
2149,750,426
2150,671,98
2151,671,98
2152,671,98
2153,671,98
2154,596,138
2155,596,138
2156,596,138
2157,629,5
2158,629,5
2159,505,124
2160,505,124
2161,505,124
2162,505,124
2163,398,135
2164,398,135
2165,177,141
2166,177,141
2167,386,3
2168,360,5
2169,360,5
2170,360,5
2171,360,5
2172,360,5
2173,360,5
2174,360,5
2175,360,5
2176,123,72
2177,123,72
2178,123,72
2179,5,248
2180,5,248
2181,5,248
2182,175,250
2183,175,250
2184,175,250
2185,186,278
2186,186,278
2187,186,278
2188,186,278
2189,186,278
2190,186,278
2191,186,278
2192,186,278
2193,186,278
2194,9,243
2195,9,243
2196,9,243
2197,9,243
2198,9,243
2199,9,243
2200,9,243
2201,446,246
2202,446,246
2203,446,246
2204,441,281
2205,441,281
2206,546,15
2207,546,15
2208,546,15
2209,546,15
2210,546,15
2211,546,15
2212,546,15
2213,320,274
2214,320,274
2215,5,272
2216,5,280
2217,5,280
2218,355,331
2219,355,331
2220,10,318
2221,45,321
2222,377,131
2223,377,131
2224,377,131
2225,377,131
2226,74,358
2227,74,358
2228,74,358
2229,74,358
2230,361,215
2231,85,425
2232,85,425
2233,85,425
2234,85,425
2235,325,332
2236,490,424
2237,515,425
2238,325,425
2239,539,427
2240,712,425
2241,691,425
2242,459,427
2243,716,424
2244,534,426
2245,535,426
2246,535,426
2247,535,426
2248,405,426
2249,405,426
2250,405,426
2251,173,410
2252,173,410
2253,173,410
2254,148,427
2255,148,427
2256,148,427
2257,148,427
2258,148,427
2259,6,337
2260,460,6
2261,316,2
2262,302,16
2263,302,16
2264,302,16
2265,302,16
2266,330,71
2267,323,145
2268,333,4
2269,333,4
2270,333,4
2271,333,4
2272,333,4
2273,402,266
2274,401,275
2275,396,284
2276,399,305
2277,399,305
2278,153,366
2279,153,366
2280,153,366
2281,153,366
2282,153,366
2283,169,342
2284,185,372
2285,185,372
2286,185,372
2287,185,372
2288,185,372
2289,185,372
2290,185,372
2291,185,372
2292,163,357
2293,163,357
2294,154,335
2295,426,306
2296,426,306
2297,453,273
2298,475,282
2299,475,282
2300,475,282
2301,475,282
2302,202,337
2303,202,337
2304,202,337
2305,202,337
2306,444,382
2307,444,382
2308,444,382
2309,444,382
2310,389,382
2311,389,382
2312,389,382
2313,454,382
2314,394,264
2315,394,264
2316,394,264
2317,394,264
2318,394,264
2319,394,264
2320,394,264
2321,394,264
2322,394,264
2323,394,264
2324,394,264
2325,394,264
2326,421,274
2327,421,274
2328,421,274
2329,421,274
2330,421,272
2331,421,272
2332,421,272
2333,421,272
2334,421,272
2335,421,272
2336,421,272
2337,421,272
2338,421,272
2339,421,272
2340,421,272
2341,421,272
2342,421,272
2343,421,272
2344,154,346
2345,156,341
2346,156,341
2347,194,346
2348,194,346
2349,194,346
2350,202,343
2351,538,298
2352,204,344
2353,189,341
